SITE,TREATMENT,Plot_type,Average_height,B1,B0
1,No,EXRD,NA,0,0
2,No,EXRD,NA,0,0
3,No,EXRD,NA,0,0
4,No,EXRD,NA,0,0
5,No,EXRD,NA,0,0
6,No,EXRD,NA,0,0
7,No,EXRD,NA,0,0
8,No,EXRD,NA,0,0
9,No,EXRD,NA,0,0
10,No,EXRD,NA,0,8
11,No,EXRD,NA,0,4
12,No,EXRD,NA,0,8
13,No,EXRD,NA,0,0
14,No,EXRD,NA,0,0
15,No,EXRD,NA,0,0
1,Yes,EXRD,NA,0,0
2,Yes,EXRD,NA,0,0
3,Yes,EXRD,NA,0,0
4,Yes,EXRD,NA,0,0
5,Yes,EXRD,NA,0,0
6,Yes,EXRD,NA,0,0
7,Yes,EXRD,NA,0,0
8,Yes,EXRD,NA,0,4
9,Yes,EXRD,NA,0,8
10,Yes,EXRD,NA,0,0
11,Yes,EXRD,NA,0,0
12,Yes,EXRD,NA,0,24
13,Yes,EXRD,NA,0,0
14,Yes,EXRD,NA,0,0
15,Yes,EXRD,NA,0,0
1,No,CAM,NA,0,0
2,Yes,CAM,NA,0,0
3,No,CAM,NA,0,0
4,Yes,CAM,NA,0,0
5,Yes,CAM,NA,0,0
6,No,CAM,NA,0,0
7,No,CAM,NA,0,0
8,Yes,CAM,NA,0,0
9,No,CAM,95,9,19
10,Yes,CAM,NA,0,0
11,Yes,CAM,NA,0,0
12,No,CAM,89,7,3
13,Yes,CAM,160,1,0
14,No,CAM,NA,0,0
15,Yes,CAM,NA,0,0
